,mac,rssi,timestamp,name,seq,scanner_ip
14690,5b:c6:bf:32:be:cc,-67,1741727843255,Unknown,39623,10.26.2.166
14691,77:bc:a9:66:ff:e2,-54,1741727842905,Unknown,38133,10.26.2.196
14692,80:c3:ba:12:24:13,-70,1741727843301,SW02,38263,10.26.2.133
14693,65:cb:df:35:93:7a,-63,1741727842910,Unknown,38134,10.26.2.196
14694,5b:c6:bf:32:be:cc,-67,1741727843308,Unknown,38264,10.26.2.133
14695,5b:c6:bf:32:be:cc,-63,1741727842829,Unknown,38142,10.26.2.131
14696,28:62:7f:db:04:6c,-85,1741727843310,Unknown,38265,10.26.2.133
14697,80:c3:ba:12:24:13,-66,1741727843223,Unknown,39075,10.26.2.134
14698,58:bc:2f:43:e2:89,-65,1741727842913,Unknown,38135,10.26.2.196
14699,41:88:49:13:56:ce,-61,1741727843322,Confernce,38266,10.26.2.133
14700,77:bc:a9:66:ff:e2,-60,1741727843324,Unknown,38267,10.26.2.133
14701,0d:a9:71:38:df:68,-87,1741727843262,Unknown,39624,10.26.2.166
14702,2a:bd:62:8e:84:bf,-84,1741727843225,Unknown,39076,10.26.2.134
14703,77:bc:a9:66:ff:e2,-52,1741727842848,Unknown,38143,10.26.2.131
14704,65:cb:df:35:93:7a,-68,1741727843328,Unknown,38268,10.26.2.133
14705,58:bc:2f:43:e2:89,-75,1741727843330,Unknown,38269,10.26.2.133
14706,65:cb:df:35:93:7a,-62,1741727842851,Unknown,38144,10.26.2.131
14707,c1:06:9c:02:4d:2d,-86,1741727843268,Unknown,39625,10.26.2.166
14708,61:05:61:7a:46:0c,-63,1741727843333,Unknown,38270,10.26.2.133
14709,58:bc:2f:43:e2:89,-69,1741727842853,Unknown,38145,10.26.2.131
14710,77:bc:a9:66:ff:e2,-59,1741727843272,Unknown,39626,10.26.2.166
14711,65:cb:df:35:93:7a,-67,1741727843275,Unknown,39627,10.26.2.166
14712,58:bc:2f:43:e2:89,-70,1741727843277,Unknown,39628,10.26.2.166
14713,61:05:61:7a:46:0c,-58,1741727843280,Unknown,39629,10.26.2.166
14714,61:05:61:7a:46:0c,-63,1741727842857,Unknown,38146,10.26.2.131
14715,61:05:61:7a:46:0c,-63,1741727842984,Unknown,38136,10.26.2.196
14716,3c:6d:66:07:12:00,-89,1741727843351,Unknown,39630,10.26.2.166
14717,0d:44:bb:d9:02:04,-90,1741727843292,Unknown,39077,10.26.2.134
14718,52:c3:88:1d:6d:a3,-66,1741727843372,Unknown,39631,10.26.2.166
14719,44:5e:cd:0f:db:41,-71,1741727843300,Razer Stereo,39078,10.26.2.134
14720,0d:44:bb:d9:02:04,-90,1741727843292,Unknown,39077,10.26.2.134
14721,52:c3:88:1d:6d:a3,-66,1741727843372,Unknown,39631,10.26.2.166
14722,44:5e:cd:0f:db:41,-71,1741727843300,Razer Stereo,39078,10.26.2.134
14723,52:c3:88:1d:6d:a3,-69,1741727843313,Unknown,39079,10.26.2.134
14724,4c:4f:28:51:aa:5c,-57,1741727843022,Unknown,38137,10.26.2.196
14725,4c:4f:28:51:aa:5c,-57,1741727843022,Unknown,38137,10.26.2.196
14726,41:88:49:13:56:ce,-68,1741727843320,Unknown,39080,10.26.2.134
14727,4c:4f:28:51:aa:5c,-72,1741727842961,Unknown,38147,10.26.2.131
14728,3c:6d:66:07:12:00,-84,1741727843404,Unknown,38271,10.26.2.133
14729,52:c3:88:1d:6d:a3,-63,1741727843421,Unknown,38272,10.26.2.133
14730,1e:ad:f0:ed:8c:fa,-86,1741727843322,Unknown,39081,10.26.2.134
14731,4c:4f:28:51:aa:5c,-62,1741727843328,Unknown,39082,10.26.2.134
14732,4c:4f:28:51:aa:5c,-65,1741727843515,Unknown,38273,10.26.2.133
14733,65:cb:df:35:93:7a,-54,1741727843403,Unknown,39083,10.26.2.134
14734,38:68:a4:a1:6f:8f,-88,1741727843117,Unknown,38138,10.26.2.196
14735,12:8c:1b:8b:d2:fb,-85,1741727843521,Unknown,38274,10.26.2.133
14736,58:bc:2f:43:e2:89,-78,1741727843405,Unknown,39084,10.26.2.134
14737,4c:4f:28:51:aa:5c,-67,1741727843462,Unknown,39632,10.26.2.166
14738,38:68:a4:a1:6f:8f,-88,1741727843117,Unknown,38138,10.26.2.196
14739,12:8c:1b:8b:d2:fb,-85,1741727843521,Unknown,38274,10.26.2.133
14740,58:bc:2f:43:e2:89,-78,1741727843405,Unknown,39084,10.26.2.134
14741,4c:4f:28:51:aa:5c,-67,1741727843462,Unknown,39632,10.26.2.166
14742,28:62:7f:db:04:6c,-85,1741727843569,Unknown,39633,10.26.2.166
14743,c1:06:9c:02:4d:2d,-82,1741727843635,Unknown,38275,10.26.2.133
14744,4c:4f:28:51:aa:5c,-63,1741727843005,Unknown,38139,10.26.2.196
14745,49:cd:60:a6:b1:c5,-58,1741727843529,Unknown,39085,10.26.2.134
14746,7f:5c:7c:60:b2:fa,-87,1741727843638,Unknown,38276,10.26.2.133
14747,6b:39:48:3c:55:5b,-59,1741727843640,Unknown,38277,10.26.2.133
14748,6b:39:48:3c:55:5b,-64,1741727843585,Unknown,39634,10.26.2.166
14749,49:cd:60:a6:b1:c5,-60,1741727843641,Unknown,38278,10.26.2.133
14750,49:cd:60:a6:b1:c5,-70,1741727843587,Unknown,39635,10.26.2.166
14751,7d:ef:fe:22:87:51,-76,1741727843008,Unknown,38140,10.26.2.196
14752,6b:39:48:3c:55:5b,-59,1741727843640,Unknown,38277,10.26.2.133
14753,4d:ea:5c:0c:3c:ea,-79,1741727843645,Unknown,38279,10.26.2.133
14754,49:cd:60:a6:b1:c5,-60,1741727843641,Unknown,38278,10.26.2.133
14755,6b:39:48:3c:55:5b,-64,1741727843585,Unknown,39634,10.26.2.166
14756,49:cd:60:a6:b1:c5,-70,1741727843587,Unknown,39635,10.26.2.166
14757,7d:ef:fe:22:87:51,-76,1741727843008,Unknown,38140,10.26.2.196
14758,4d:ea:5c:0c:3c:ea,-79,1741727843645,Unknown,38279,10.26.2.133
14759,4d:ea:5c:0c:3c:ea,-82,1741727843531,Unknown,39086,10.26.2.134
14760,79:92:7e:cb:3f:eb,-73,1741727843648,Unknown,38280,10.26.2.133
14761,4d:ea:5c:0c:3c:ea,-75,1741727843010,Unknown,38141,10.26.2.196
14762,53:c7:96:20:10:c3,-73,1741727843592,Unknown,39636,10.26.2.166
14763,79:92:7e:cb:3f:eb,-77,1741727843013,Unknown,38142,10.26.2.196
14764,79:92:7e:cb:3f:eb,-62,1741727843594,Unknown,39637,10.26.2.166
14765,b8:bc:5b:72:2b:0f,-90,1741727843729,Unknown,38281,10.26.2.133
14766,52:c3:88:1d:6d:a3,-59,1741727843230,Unknown,38148,10.26.2.131
14767,79:9b:16:0b:1e:30,-55,1741727843607,Unknown,39087,10.26.2.134
14768,c1:06:9c:02:4d:2d,-83,1741727843619,Unknown,39088,10.26.2.134
14769,79:9b:16:0b:1e:30,-67,1741727843670,Unknown,39638,10.26.2.166
14770,4c:13:81:7b:36:5e,-91,1741727843746,Unknown,38282,10.26.2.133
14771,51:02:11:6a:65:e4,-83,1741727843078,Unknown,38143,10.26.2.196
14772,51:02:11:6a:65:e4,-86,1741727843234,Unknown,38149,10.26.2.131
14773,79:9b:16:0b:1e:30,-61,1741727843240,Unknown,38150,10.26.2.131
14774,79:9b:16:0b:1e:30,-66,1741727843084,Unknown,38144,10.26.2.196
14775,51:02:11:6a:65:e4,-83,1741727843078,Unknown,38143,10.26.2.196
14776,51:02:11:6a:65:e4,-86,1741727843234,Unknown,38149,10.26.2.131
14777,79:9b:16:0b:1e:30,-61,1741727843240,Unknown,38150,10.26.2.131
14778,79:9b:16:0b:1e:30,-66,1741727843084,Unknown,38144,10.26.2.196
14779,c1:06:9c:02:4d:2d,-81,1741727843095,Unknown,38145,10.26.2.196
14780,41:88:49:13:56:ce,-67,1741727843097,Unknown,38146,10.26.2.196
14781,57:9a:5b:84:96:c1,-67,1741727843689,Unknown,39639,10.26.2.166
14782,c1:06:9c:02:4d:2d,-83,1741727843244,Unknown,38151,10.26.2.131
14783,57:9a:5b:84:96:c1,-77,1741727843108,Unknown,38147,10.26.2.196
14784,53:df:41:06:3b:b4,-72,1741727843693,Unknown,39640,10.26.2.166
14785,4c:13:81:7b:36:5e,-91,1741727843696,Unknown,39641,10.26.2.166
14786,12:8c:1b:8b:d2:fb,-88,1741727843246,Unknown,38152,10.26.2.131
14787,28:62:7f:db:04:6c,-86,1741727843249,Unknown,38153,10.26.2.131
14788,41:88:49:13:56:ce,-64,1741727843253,Unknown,38154,10.26.2.131
14789,53:df:41:06:3b:b4,-73,1741727843193,Unknown,38148,10.26.2.196
14790,53:df:41:06:3b:b4,-64,1741727843709,Unknown,39089,10.26.2.134
14791,7f:5c:7c:60:b2:fa,-85,1741727843711,Unknown,39090,10.26.2.134
14792,57:9a:5b:84:96:c1,-69,1741727843348,Unknown,38155,10.26.2.131
14793,79:03:7c:09:8f:9c,-66,1741727843350,Unknown,38156,10.26.2.131
14794,79:03:7c:09:8f:9c,-61,1741727843774,Unknown,39642,10.26.2.166
14795,6e:b6:12:49:04:9c,-88,1741727843827,Unknown,38283,10.26.2.133
14796,5a:e0:43:b4:79:2e,-66,1741727843779,Unknown,39643,10.26.2.166
14797,5a:e0:43:b4:79:2e,-62,1741727843195,Unknown,38149,10.26.2.196
14798,5a:e0:43:b4:79:2e,-65,1741727843829,Unknown,38284,10.26.2.133
14799,79:03:7c:09:8f:9c,-70,1741727843715,Unknown,39091,10.26.2.134
14800,79:03:7c:09:8f:9c,-78,1741727843832,Unknown,38285,10.26.2.133
14801,79:03:7c:09:8f:9c,-61,1741727843774,Unknown,39642,10.26.2.166
14802,5a:e0:43:b4:79:2e,-74,1741727843720,Unknown,39092,10.26.2.134
14803,79:92:7e:cb:3f:eb,-54,1741727843723,Unknown,39093,10.26.2.134
14804,12:8c:1b:8b:d2:fb,-83,1741727843197,Unknown,38150,10.26.2.196
14805,5a:e0:43:b4:79:2e,-59,1741727843352,Unknown,38157,10.26.2.131
14806,79:92:7e:cb:3f:eb,-56,1741727843356,Unknown,38158,10.26.2.131
14807,7d:ef:fe:22:87:51,-68,1741727843445,Unknown,38159,10.26.2.131
14808,7d:ef:fe:22:87:51,-54,1741727843811,Unknown,39094,10.26.2.134
14809,53:df:41:06:3b:b4,-75,1741727843454,Unknown,38160,10.26.2.131
14810,4a:c7:8b:aa:9e:13,-69,1741727843295,Unknown,38151,10.26.2.196
14811,7d:ef:fe:22:87:51,-62,1741727843869,Unknown,39644,10.26.2.166
14812,7d:ef:fe:22:87:51,-71,1741727843922,Unknown,38286,10.26.2.133
14813,39:ed:c3:aa:06:c4,-91,1741727843935,Unknown,38287,10.26.2.133
14814,7d:ef:fe:22:87:51,-54,1741727843811,Unknown,39094,10.26.2.134
14815,7d:ef:fe:22:87:51,-62,1741727843869,Unknown,39644,10.26.2.166
14816,05:45:36:f6:2f:c0,-88,1741727843301,Unknown,38152,10.26.2.196
14817,57:58:9d:76:05:c3,-68,1741727843947,Unknown,38288,10.26.2.133
14818,57:58:9d:76:05:c3,-70,1741727843310,Unknown,38153,10.26.2.196
14819,4a:c7:8b:aa:9e:13,-69,1741727843295,Unknown,38151,10.26.2.196
14820,7d:ef:fe:22:87:51,-71,1741727843922,Unknown,38286,10.26.2.133
14821,57:58:9d:76:05:c3,-58,1741727843833,Unknown,39095,10.26.2.134
14822,39:ed:c3:aa:06:c4,-91,1741727843935,Unknown,38287,10.26.2.133
14823,39:ed:c3:aa:06:c4,-81,1741727843457,Unknown,38161,10.26.2.131
14824,21:1d:49:5c:2c:f2,-74,1741727843463,Unknown,38162,10.26.2.131
14825,80:c3:ba:12:24:67,-70,1741727843315,SW02,38154,10.26.2.196
14826,57:58:9d:76:05:c3,-69,1741727843470,Unknown,38163,10.26.2.131
14827,22:92:d6:bc:87:84,-83,1741727844030,Unknown,38289,10.26.2.133
14828,53:18:3d:ff:31:f6,-63,1741727843395,Unknown,38155,10.26.2.196
14829,80:c3:ba:12:24:67,-69,1741727843915,Unknown,39096,10.26.2.134
14830,40:bb:ce:a2:7b:fe,-83,1741727843399,3d0dc6dc,38156,10.26.2.196
14831,53:18:3d:ff:31:f6,-63,1741727843395,Unknown,38155,10.26.2.196
14832,80:c3:ba:12:24:67,-69,1741727843915,Unknown,39096,10.26.2.134
14833,22:92:d6:bc:87:84,-83,1741727844030,Unknown,38289,10.26.2.133
14834,40:bb:ce:a2:7b:fe,-83,1741727843399,3d0dc6dc,38156,10.26.2.196
14835,80:c3:ba:12:24:67,-72,1741727843548,Unknown,38164,10.26.2.131
14836,53:18:3d:ff:31:f6,-62,1741727843918,Unknown,39097,10.26.2.134
14837,dd:a0:ff:02:10:1f,-67,1741727843984,Unknown,39645,10.26.2.166
14838,53:18:3d:ff:31:f6,-62,1741727843918,Unknown,39097,10.26.2.134
14839,80:c3:ba:12:24:67,-72,1741727843548,Unknown,38164,10.26.2.131
14840,dd:a0:ff:02:10:1f,-67,1741727843984,Unknown,39645,10.26.2.166
14841,53:18:3d:ff:31:f6,-64,1741727843550,Unknown,38165,10.26.2.131
14842,1e:35:64:06:6e:90,-93,1741727843994,Unknown,39646,10.26.2.166
14843,1e:35:64:06:6e:90,-93,1741727843994,Unknown,39646,10.26.2.166
14844,53:18:3d:ff:31:f6,-64,1741727843550,Unknown,38165,10.26.2.131
14845,40:bb:ce:a2:7b:fe,-77,1741727843555,3d0dc6dc,38166,10.26.2.131
14846,40:bb:ce:a2:7b:fe,-77,1741727843555,3d0dc6dc,38166,10.26.2.131
14847,dd:a0:ff:02:10:1f,-67,1741727843402,Unknown,38157,10.26.2.196
14848,dd:a0:ff:02:10:1f,-67,1741727843402,Unknown,38157,10.26.2.196
14849,4e:44:92:b9:90:45,-67,1741727843404,Unknown,38158,10.26.2.196
14850,4e:44:92:b9:90:45,-67,1741727843404,Unknown,38158,10.26.2.196
14851,40:bb:ce:a2:7b:fe,-79,1741727844039,3d0dc6dc,38290,10.26.2.133
14852,40:bb:ce:a2:7b:fe,-79,1741727844039,3d0dc6dc,38290,10.26.2.133
14853,40:e0:82:56:b4:ca,-63,1741727844048,Unknown,38291,10.26.2.133
14854,48:b0:2d:fd:87:fb,-78,1741727844050,Unknown,38292,10.26.2.133
14855,40:e0:82:56:b4:ca,-63,1741727844048,Unknown,38291,10.26.2.133
14856,48:b0:2d:fd:87:fb,-78,1741727844050,Unknown,38292,10.26.2.133
14857,dd:a0:ff:02:10:1f,-57,1741727843925,Unknown,39098,10.26.2.134
14858,48:b0:2d:fd:87:fb,-86,1741727843997,Unknown,39647,10.26.2.166
14859,12:8c:1b:8b:d2:fb,-84,1741727843928,Unknown,39099,10.26.2.134
14860,40:e0:82:56:b4:ca,-75,1741727843414,Unknown,38159,10.26.2.196
14861,39:ed:c3:aa:06:c4,-86,1741727843929,Unknown,39100,10.26.2.134
14862,dd:a0:ff:02:10:1f,-57,1741727843925,Unknown,39098,10.26.2.134
14863,48:b0:2d:fd:87:fb,-86,1741727843997,Unknown,39647,10.26.2.166
